# ====== 北京电信 ======
北京电信,#genre#
北京卫视,http://115.171.80.52:1688/rtp/225.1.8.21:8002
北京文艺频道,http://115.171.80.52:1688/udp/225.1.8.22:8002
北京纪实科教,http://115.171.80.52:1688/udp/225.1.8.105:8002
北京影视频道,http://115.171.80.52:1688/udp/225.1.8.82:8000
北京财经频道,http://115.171.80.52:1688/udp/225.1.8.106:8002
北京体育休闲,http://115.171.80.52:1688/udp/225.1.8.23:8002
北京生活频道,http://115.171.80.52:1688/udp/225.1.8.108:8002
北京新闻频道,http://115.171.80.52:1688/udp/225.1.8.83:8000
北京卡酷少儿,http://115.171.80.52:1688/udp/225.1.8.35:8000
北京国际频道,ht

# ====== 广东电信 ======
广东电信,#genre#
广东卫视4K,http://113.119.25.53:58888/udp/239.77.0.65:5146
广东卫视4K,http://113.119.25.53:58888/udp/239.77.0.66:5146
深圳卫视4K,http://113.119.25.53:58888/udp/239.77.0.67:5146
湖南卫视4K,http://113.119.25.53:58888/udp/239.77.0.56:5146
江苏卫视4K,http://113.119.25.53:58888/udp/239.77.0.57:5146
浙江卫视4K,http://113.119.25.53:58888/udp/239.77.0.58:5146
东方卫视4K,http://113.119.25.53:58888/udp/239.77.0.59:5146
四川卫视4K,http://113.119.25.53:58888/udp/239.77.0.60:5146
山东卫视4K,http://113.119.25.53:58888/udp/239.77.0.

# ====== 四川电信 ======
四川电信,#genre#
四川卫视4K,http://222.211.99.59:4022/udp/239.94.0.115:5140
湖南卫视4K,http://222.211.99.59:4022/udp/239.94.0.116:5140
江苏卫视4K,http://222.211.99.59:4022/udp/239.94.0.117:5140
浙江卫视4K,http://222.211.99.59:4022/udp/239.94.0.118:5140
东方卫视4K,http://222.211.99.59:4022/udp/239.94.0.119:5140
山东卫视4K,http://222.211.99.59:4022/udp/239.94.0.120:5140
四川卫视,http://222.211.99.59:4022/udp/239.93.0.169:5140
康巴卫视,http://222.211.99.59:4022/udp/239.93.0.41:5140
四川影视文艺,http://222.211.99.59:4022/udp/239.93.0.166:51

# ====== 江苏电信 ======
江苏电信,#genre#
江苏卫视,http://180.105.201.135:9981/rtp/239.49.8.138:6000
江苏城市频道,http://180.105.201.135:9981/rtp/239.49.8.107:8000
江苏综艺频道,http://180.105.201.135:9981/rtp/239.49.8.108:8000
江苏体育休闲,http://180.105.201.135:9981/rtp/239.49.8.117:8000
江苏影视频道,http://180.105.201.135:9981/rtp/239.49.8.118:8000
江苏优漫卡通,http://180.105.201.135:9981/rtp/239.49.8.119:8000
江苏新闻频道,http://180.105.201.135:9981/rtp/239.49.8.120:8000
江苏教育频道,http://180.105.201.135:9981/rtp/239.49.8.122:8000
江苏国际频道,http://180.105.201.135:998

# ====== 北京联通 ======
北京联通,#genre#
北京卫视,http://web.iakoay.com:8001/rtp/239.3.1.241:8000
北京新闻频道,http://web.iakoay.com:8001/rtp/239.3.1.159:8000
北京影视频道,http://web.iakoay.com:8001/rtp/239.3.1.158:8000
北京文艺频道,http://web.iakoay.com:8001/rtp/239.3.1.242:8000
北京财经频道,http://web.iakoay.com:8001/rtp/239.3.1.116:8000
北京生活频道,http://web.iakoay.com:8001/rtp/239.3.1.117:8000
北京纪实科教,http://web.iakoay.com:8001/rtp/239.3.1.115:8000
北京卡酷少儿,http://web.iakoay.com:8001/rtp/239.3.1.189:8000
北京体育休闲,http://web.iakoay.com:8001/rtp/239.3.1.243

