# ====== 北京电信 ======
北京电信,#genre#
北京卫视,http://115.171.80.52:1688/rtp/225.1.8.21:8002
北京文艺频道,http://115.171.80.52:1688/udp/225.1.8.22:8002
北京纪实科教,http://115.171.80.52:1688/udp/225.1.8.105:8002
北京影视频道,http://115.171.80.52:1688/udp/225.1.8.82:8000
北京财经频道,http://115.171.80.52:1688/udp/225.1.8.106:8002
北京体育休闲,http://115.171.80.52:1688/udp/225.1.8.23:8002
北京生活频道,http://115.171.80.52:1688/udp/225.1.8.108:8002
北京新闻频道,http://115.171.80.52:1688/udp/225.1.8.83:8000
北京卡酷少儿,http://115.171.80.52:1688/udp/225.1.8.35:8000
北京国际频道,ht

# ====== 广东电信 ======
广东电信,#genre#
广东卫视4K,http://113.119.25.53:58888/udp/239.77.0.65:5146
广东卫视4K,http://113.119.25.53:58888/udp/239.77.0.66:5146
深圳卫视4K,http://113.119.25.53:58888/udp/239.77.0.67:5146
湖南卫视4K,http://113.119.25.53:58888/udp/239.77.0.56:5146
江苏卫视4K,http://113.119.25.53:58888/udp/239.77.0.57:5146
浙江卫视4K,http://113.119.25.53:58888/udp/239.77.0.58:5146
东方卫视4K,http://113.119.25.53:58888/udp/239.77.0.59:5146
四川卫视4K,http://113.119.25.53:58888/udp/239.77.0.60:5146
山东卫视4K,http://113.119.25.53:58888/udp/239.77.0.

# ====== 陕西电信 ======
陕西电信,#genre#
陕西卫视,http://36.46.98.242:8025/rtp/239.111.205.35:5140
陕西新闻资讯,http://36.46.98.242:8025/rtp/239.111.205.28:5140
陕西都市青春,http://36.46.98.242:8025/rtp/239.111.205.42:5140
陕西体育休闲,http://36.46.98.242:8025/rtp/239.111.205.36:5140
陕西农林卫视,http://36.46.98.242:8025/rtp/239.112.205.26:5140
陕西西部电影,http://36.46.98.242:8025/rtp/239.111.205.41:5140
陕西秦腔频道,http://36.46.98.242:8025/rtp/239.112.205.22:5140
陕西银铃频道,http://36.46.98.242:8025/rtp/239.112.205.20:5140
西安新闻综合,http://36.46.98.242:8025/rtp/239.1

# ====== 云南电信 ======
云南电信,#genre#
云南卫视,http://106.59.2.153:55555/rtp/239.200.200.145:8840
云南都市频道,http://106.59.2.153:55555/rtp/239.200.200.12:8844
云南娱乐频道,http://106.59.2.153:55555/rtp/239.200.200.13:8848
云南影视频道,http://106.59.2.153:55555/rtp/239.200.200.15:8856
云南康旅频道,http://106.59.2.153:55555/rtp/239.200.200.31:8860
云南少儿频道,http://106.59.2.153:55555/rtp/239.200.200.32:8864
澜湄国际频道,http://106.59.2.153:55555/rtp/239.200.200.33:8024
云南4K频道,http://106.59.2.153:55555/rtp/239.200.200.178:8884
楚雄新闻频道,http://106.59.2.153:5555

# ====== 安徽电信 ======
安徽电信,#genre#
东方卫视4K,http://114.100.195.156:4022/rtp/238.1.79.39:4428
浙江卫视4K,http://114.100.195.156:4022/rtp/238.1.79.28:4336
江苏卫视4K,http://114.100.195.156:4022/rtp/238.1.78.37:4088
广东卫视4K,http://114.100.195.156:4022/rtp/238.1.79.25:4312
四川卫视4K,http://114.100.195.156:4022/rtp/238.1.79.51:4520
湖南卫视4K,http://114.100.195.156:4022/rtp/238.1.79.38:4416
深圳卫视4K,http://114.100.195.156:4022/rtp/238.1.79.26:4320
山东卫视4K,http://114.100.195.156:4022/rtp/238.1.79.29:4344
北京卫视4K,http://114.100.195.156:4022/rtp/

# ====== 江苏电信 ======
江苏电信,#genre#
江苏卫视,http://180.105.201.135:9981/rtp/239.49.8.138:6000
江苏城市频道,http://180.105.201.135:9981/rtp/239.49.8.107:8000
江苏综艺频道,http://180.105.201.135:9981/rtp/239.49.8.108:8000
江苏体育休闲,http://180.105.201.135:9981/rtp/239.49.8.117:8000
江苏影视频道,http://180.105.201.135:9981/rtp/239.49.8.118:8000
江苏优漫卡通,http://180.105.201.135:9981/rtp/239.49.8.119:8000
江苏新闻频道,http://180.105.201.135:9981/rtp/239.49.8.120:8000
江苏教育频道,http://180.105.201.135:9981/rtp/239.49.8.122:8000
江苏国际频道,http://180.105.201.135:998

