CCTV1,CCTV-1综合 - 待更新源
CCTV-1综合,rtp://239.76.253.101:8000
CCTV2,CCTV-2财经 - 待更新源
CCTV-2财经,rtp://239.76.253.102:8000
CCTV3,CCTV-3综艺 - 待更新源
CCTV-3综艺,rtp://239.76.253.103:8000
CCTV4,CCTV-4中文国际 - 待更新源
CCTV-4中文国际,rtp://239.76.253.104:8000
CCTV5,CCTV-5体育 - 待更新源
CCTV-5体育,rtp://239.76.253.105:8000
CCTV6,CCTV-6电影 - 待更新源
CCTV-6电影,rtp://239.76.253.106:8000
CCTV7,CCTV-7国防军事 - 待更新源
CCTV-7国防军事,rtp://239.76.253.107:8000
CCTV8,CCTV-8电视剧 - 待更新源
CCTV-8电视剧,rtp://239.76.253.108:8000
CCTV9,CCTV-9纪录 - 待更新源
CCTV-9纪录,rtp://239.76.253.109:8000
CCTV10,CCTV-10科教 - 待更新源
CCTV-10科教,rtp://239.76.253.110:8000
CCTV11,CCTV-11戏曲 - 待更新源
CCTV-11戏曲,rtp://239.76.253.111:8000
CCTV12,CCTV-12社会与法 - 待更新源
CCTV-12社会与法,rtp://239.76.253.112:8000
CCTV13,CCTV-13新闻 - 待更新源
CCTV-13新闻,rtp://239.76.253.113:8000
CCTV14,CCTV-14少儿 - 待更新源
CCTV-14少儿,rtp://239.76.253.114:8000
CCTV15,CCTV-15音乐 - 待更新源
CCTV-15音乐,rtp://239.76.253.115:8000

# ====== 北京电信中的CCTV频道 ======
CCTV-1综合,http://115.171.80.52:1688/rtp/225.1.8.1:8008
CCTV-1综合,http://115.171.80.52:1688/rtp/225.1.8.1:8008
CCTV-1综合,http://115.171.80.52:1688/rtp/225.1.8.1:8008
CCTV-1综合,http://115.171.80.52:1688/rtp/225.1.8.1:8008
CCTV-1综合,http://115.171.80.52:1688/rtp/225.1.8.1:8008
CCTV-1综合,http://115.171.80.52:1688/rtp/225.1.8.1:8008
CCTV-1综合,http://115.171.80.52:1688/rtp/225.1.8.1:8008
CCTV-1综合,http://115.171.80.52:1688/rtp/225.1.8.1:8008
CCTV-1综合,http://115.171.80.52:1688/rtp/225.1.8.1:8008
CCTV-1综合,http://115.171.80.52:1688/rtp/225.1.8.1:8008
CCTV-1综合,http://115.171.80.52:1688/rtp/225.1.8.1:8008
CCTV-1综合,http://115.171.80.52:1688/rtp/225.1.8.1:8008
CCTV-1综合,http://115.171.80.52:1688/rtp/225.1.8.1:8008
CCTV-1综合,http://115.171.80.52:1688/rtp/225.1.8.1:8008
CCTV-2财经,http://115.171.80.52:1688/rtp/225.1.8.2:8084
CCTV-3综艺,http://115.171.80.52:1688/rtp/225.1.8.88:8000
CCTV-4中文国际,http://115.171.80.52:1688/rtp/225.1.8.4:8092
CCTV-5体育,http://115.171.80.52:1688/rtp/225.1.8.89:8000
CCTV-5+体育赛事,http://115.171.80.52:1688/rtp/225.1.8.20:8004
CCTV-6电影,http://115.171.80.52:1688/rtp/225.1.8.84:8000
CCTV-7国防军事,http://115.171.80.52:1688/rtp/225.1.8.7:8104
CCTV-8电视剧,http://115.171.80.52:1688/rtp/225.1.8.85:8000
CCTV-9纪录,http://115.171.80.52:1688/rtp/225.1.8.9:8112
CCTV-10科教,http://115.171.80.52:1688/rtp/225.1.8.10:8116
CCTV-11戏曲,http://115.171.80.52:1688/rtp/225.1.8.73:8120
CCTV-12社会与法,http://115.171.80.52:1688/rtp/225.1.8.12:8124
CCTV-13新闻,http://115.171.80.52:1688/rtp/225.1.8.168:8130
CCTV-14少儿,http://115.171.80.52:1688/rtp/225.1.8.14:8132
CCTV-15音乐,http://115.171.80.52:1688/rtp/225.1.8.74:8136

# ====== 广东电信中的CCTV频道 ======
CCTV-1综合,http://113.119.25.53:58888/udp/239.77.1.144:5146
CCTV-1综合,http://113.119.25.53:58888/udp/239.77.1.144:5146
CCTV-1综合,http://113.119.25.53:58888/udp/239.77.1.144:5146
CCTV-1综合,http://113.119.25.53:58888/udp/239.77.1.144:5146
CCTV-1综合,http://113.119.25.53:58888/udp/239.77.1.144:5146
CCTV-1综合,http://113.119.25.53:58888/udp/239.77.1.144:5146
CCTV-1综合,http://113.119.25.53:58888/udp/239.77.1.144:5146
CCTV-1综合,http://113.119.25.53:58888/udp/239.77.1.144:5146
CCTV-1综合,http://113.119.25.53:58888/udp/239.77.1.144:5146
CCTV-2财经,http://113.119.25.53:58888/udp/239.77.1.158:5146
CCTV-3综艺,http://113.119.25.53:58888/udp/239.77.0.169:5146
